logFC	AveExpr	t	P.Value	adj.P.Val	B	Gene
-0.526687407258065	2.49944941025641	-4.53207297942524	5.24353249218054e-05	0.628148658490333	0.18094131289644	OR6M1
0.543322348907258	3.20090582279487	4.29202400953197	0.000110229491759785	0.628148658490333	-0.244880430966285	MITF
1.17083061693548	8.01626735897436	4.17979896867219	0.00015540724822644	0.628148658490333	-0.443201571978702	TMEM204
-0.620657671370968	2.49303141025641	-4.14973051489399	0.000170309628926924	0.628148658490333	-0.496219033205667	CYP39A1
0.887626395161289	8.62160243589744	4.07194206751293	0.000215628850237554	0.628148658490333	-0.633101033642889	ZCCHC24
1.24454860887097	5.23286846153846	4.05422101736386	0.000227490960161326	0.628148658490333	-0.664223292940234	C1orf21
-0.604003247149193	2.44216673020513	-3.99116899273108	0.000275071729500871	0.628148658490333	-0.774753938450277	GSG2
0.541786755302421	2.6218536	3.93816561272706	0.000322439820974222	0.628148658490333	-0.867403046229082	MDH1B
1.42897112903226	6.44564384615385	3.9152672038888	0.000345272350494336	0.628148658490333	-0.907347760034211	LAMA2
-0.399784047362903	2.46319261846154	-3.90700589854148	0.00035388899231963	0.628148658490333	-0.921746435737255	ARHGAP42
0.785900680258067	5.19895944630769	3.84458172427191	0.000426090266702501	0.628148658490333	-1.03031898297776	WDR27
-0.441321261435484	1.87530500030769	-3.83651922510784	0.000436397749774731	0.628148658490333	-1.04431145250652	IFNA6
0.636069572580647	6.71852651282051	3.81339656152567	0.000467316011901205	0.628148658490333	-1.08440047783897	TARBP1
-0.953115225399194	2.85772943269231	-3.78103442205039	0.000514171567323864	0.628148658490333	-1.14040491887987	HMGA2
-0.513205855326614	5.73147940151282	-3.77886014589866	0.000517477475689532	0.628148658490333	-1.14416317412888	BOP1
-0.515355270161291	6.73300125641026	-3.73999122134514	0.000580162025801567	0.63540854619736	-1.21125077939927	SSRP1
1.22946520339516	8.99868516920513	3.73036965925324	0.000596776842954119	0.63540854619736	-1.22782834725092	FRZB
